tipo;categoria;cue;nombre;domicilio;turno;localidad;porcentaje_zona;zona
J.C.;1º;4600150;JUSTO JOSE DE URQUIZA;SANTO DOMINGO S/N;M-T;PITUIL;55;E
J.C.;1º;4600135;YLDA MORENO DE ROBLES;B° LA PLAZA;M-T;CAMPANAS;55;E
EMER;3º;4600099;MAESTRO ANTONIO VEGA;RUTA NAC. Nº 78;M-T;SANTA CRUZ;100;E
EMER;3º;4600149;DOMINGA E. FUNES;RUTA N° 1;M-T;LA CUADRA;100;E
;3º;4600168;ARTEMIO SALINAS;CALLE PRINCIPAL S/N;M;AICUÑA;100;H
;1º;4600169;GERONIMO FLORES;AVDA. 24 DE SEPTIEMBRE;T;PAGANCILLO;55;H
;2º;4600228;WOLF SCHOLNIK;LOS PALACIOS;M;LOS PALACIOS;55;H
;2º;4600161;ANDREA PAEZ ORQUERA;ORTIZ DE OCAMPO S/N;M;BANDA FLORIDA;70;H
;3º;4600253;DOMINGO F. SARMIENTO;LA BANDA;M;LA BANDA;70;K
J.C.;1º;4600322;VICENTE CALDERON;C.S. MENEM S/N;M-T;VINCHINA;55;K
;3º;4600323;PCIA. DE SANTIAGO DEL ESTERO;ALTO JAGUE;M;ALTO JAGUE;120;K
;3º;4600259;DELINA ELIZONDO;POLCA;M;POLCO;40;L
;3º;4600284;PCIA. DE LA RIOJA;S/N;M;ESQUINA DEL NORTE;100;L
EMER;3º;4600292;ESCUELA 77;TALVA;M;TALVA;100;F
;3º;4600356;ELVA FERNANDEZ DE SANCHEZ;PUBLICA S/N ;M;ALCAZAR;70;S
;3º;4600490;AMIGO DEVOTO;RUTA PROVINCIAL Nº 30;M;CHILA;70;S
J.C.;1º;4600487;PCIA. DE LA PAMPA;7 DE OCTUBRE S/N;M-T;TAMA;30;S
;3º;4600446;ESCUELA 81;ESQUINA GRANDE;M;ESQUINA GRANDE;100;I
;3º;4600508;RAUL ORIHUELA;PASAJE NIÑO ALCALDE S/N ;M;NACATE;70;N
