tipo;categoria;cue;nombre;domicilio;turno;localidad;porcentaje_zona;zona
;3º;4600354;NIÑAS DE AYOHUMA;TASQUIN ;M;ANGEL V PEÑALOZA;100;S
;1º;4600056;TAMBOR DE TACUARI;ISLA DECEPCION Nº 672 Bº ANTARTICA I;M-T;LA RIOJA;;B
J.C.;3º;4600523;25 DE MAYO;CALLE Nº2 LA COLONIA;;GRAL. OCAMPO;55;I
;;;;;;HUACO;120;P
;3º;4600379;DAMAS MENDOCINAS;PARAJE EL BALDE DE LA VIUDA;M;GRAL. SAN MARTIN;120;J
;3º;4600171;FRAY LUIS BELTRAN;CALLE PRINCIPAL S/N LOS PATILLOS;M;FELIPE VARELA;100;H
;3º;4600497;MARIA SANCHEZ DE THOMPSON;LOS COLORADOS;M;INDEPENDENCIA;100;M
EMER;3º;4600260;GDOR. FRANCISCO  SOLANO GOMEZ;SANTA BARBARA;M;CHAMICAL;100;F
P.H.;1º;4600022;MAESTRO ARMANDO H. ROBLEDO;ESTEBAN ECHEVERRIA;M;LA RIOJA;;B
;;;;;;LA LOMITA;120;J
;3º;4600295;ESCUELA 289;LA HUERTA;M;GRAL. BELGRANO;100;F
;;;;;;EL RUMIACO;120;B
;3º;4600746;SIXTO ALCIRO BRIZUELA;PARAJE LAS HIGUERITAS;T;SANTA FLORENTINA;199;D
;;;;;;;;B
;;;;;;PUERTO ALEGRE;40;B
;3º;4600331;JOSE DARRAGUEIRA;PJE. EL RETAMO;M;CHAMICAL;120;L
;;;;;;SAN AMBROSIO;120;M
;3º;4600359;FRAY CAYETANO RODRIGUEZ;AGUANGO;M;INDEPENDENCIA;120;M
;3º;4600138;PEDRO LEON GALLO;PJE. LA CIMBRITA;M;ARAUCO;120;A
;;;;;;AG. DE LOS BALDES;120;B
;1º;4600048;JUAN JOSE PASO;AVDA. SAN NICOLAS DE BARI ESQ. PORTEZUELA;M-T;LA RIOJA;;B
;3º;4600264;MAESTRO ALILO NUÑEZ;PJE. LA AGUADITA;M;CHAMICAL;55;L
J.C.;3º;4600254;GENDARMERIA NACIONAL;POTRERO GRANDE;M-T;VINCHINA;120;K
;;;;;;;;B
;3º;4600346;JOSE ANTONIO CABRERA;AGUYO;M;GRAL. SAN MARTIN;120;J
;3º;4600271;JOSE DE UGARTECHE;EL CARMEN - LA INVERNADA;M;CHAMICAL;120;L
;3º;4600038;DR. PEDRO MIGUEL ARAOZ;RUTA Nº 6  KM 120 LA ANTIGUA;T;CAPITAL;100;B
;3º;4600266;20 DE MAYO;LOS TALAS;M-T;CHAMICAL;120;L
;3º;4600272; VICENTE A. ALMONACID;PJE. BAJO DE LUCAS;M-T;CHAMICAL;120;L
;3º;4600028;DARDO DE LA VEGA DIAZ;RUTA Nº 5 KM 50;M;SAN LORENZO;100;B
;3º;4600034;GDOR. MANUEL V. BUSTOS;RUTA Nº 6 KM 13;M;SAN PEDRO;100;B
;3º;4600407;DR. ESTEBAN A.GASCON;SAN PEDRO;M;JUAN F. QUIROGA;100;N
;3º;4600369;DR. MANUEL A. ACEVEDO;EL MONTE KM 38;M;ANGEL V PEÑALOZA;120;S
;3º;4600270;JOSE EUSEBIO COLOMBES;PJE. LA RESISTENCIA;M;CHAMICAL;120;L
;3º;4600514;MARIANO BOEDO;TOSQUEA;M;JUAN F. QUIROGA;120;N
;3º;4600039;DR. TOMAS DE ANCHORENA;RUTA Nº 6 EL BARRIAL;M;CAPITAL;100;B
;3º;4600402;DR. TEODORO S. DE BUSTAMANTE;RUTA PROVINCIAL Nº 31 EL UNQUILLAR;M;JUAN F. QUIROGA;100;N
;3º;4600581;ANTONIO GONZALEZ BALCARCE;RUTA Nº 25 KM 80;M;ESTANCIA SAN NICOLAS;100;B
;3º;4600340;JUAN AGUSTIN MAZA;LA SUSPENSIÓN;M;GRAL. SAN MARTIN;120;J
;3º;4600370;CHACHO PEÑALOZA;RUTA PROVINCIAL Nº 27 Y 28;M;SAN RAMON;100;S
;3º;4600262;MAIPU;VILLA CARMELA;M;CHAMICAL;100;L
;3º;4600333;HIPOLITO IRIGOYEN;RUTA PROVINCIAL TALA VERDE;M;GRAL. BELGRANO;100;F
;3º;4600336;EDUARDO PEREZ BULNES;PJE. POZO DE LA VACA;M;CHAMICAL;120;L
;3º;4600464;JOSE IGNACIO THAMES;VIRGEN DEL VALLE - ULAPES;M;CHEPES;120;J
;;;;;;EL CINCUENTA;100;B
;3º;4600172;GRANADERO VARGAS;EL CARDON;M;FELIPE VARELA;120;H
EMER;3º;4600279;FRAY JUSTO STA. MARIA DE ORO;EL CONSUELO;M;GRAL. BELGRANO;100;F
;3º;4600030;ESTAUROFILA L. DE GRANILLO;RUTA Nº 5 KM 80 LA LATA;M;LA RIOJA;100;B
;3º;4600489;JUAN FRANCISCO OVIEDO;COLOZACAN;M;ANGEL V PEÑALOZA;120;S
;3º;4600269;CORONEL PRINGLES;EL GARABATO;M;CHAMICAL;120;L
;3º;4600265;ABRAHAM RUADES;EL MOLLAR;M;CHAMICAL;100;L
;;;;;;SANTA C. DE LAS  S.;120;S
;;;;;;SANTA TERESITA;120;B
;3º;4600454;ESCUELA 332;CASAS VIEJAS;M;ROSARIO V PEÑALOZA;120;O
;;;;;;;;B
;3º;4600235;MARIA LUISA DE LARGUIA;PARAJE EL TRIANGULO;M;NONOGASTA;70;D
;3º;4600357;ESCUELA 335;REPRESA DE LA PUNTA;M;INDEPENDENCIA;120;M
;1º;4600074;PARROQUIAL INMACULADA CONCEPCION;SAN MARTIN Nº 480;M;AIMOGASTA;;A
;3º;4600692;MANUELA O. DE MABRAGAÑA;CONT. 8 DE DICIEMBRE Y NBARCELONA;T-N;LA RIOJA;;B
DIFERENCIAL;1º;4600043;FRAY MAMERTO ESQUIU;CABO PRIMERO RODRIGUEZ S/N;T;LA RIOJA;;B
;3º;4600688;HILADOS Y TEJIDOS;S/N;T;CHAMICAL;;L
;;;;;;BAJO VERDE;;B
;1º;4600084;FRAY LAURENCIO TORRES;DARDO ROCHA Nº 42;N;LA RIOJA;;B
;;;;;;;;B
;3º;4600163;POLICIA FEDERAL ARGENTINA;LA CUEVAS;M;FELIPE VARELA;120;H
EMER;3º;4600334;FERNANDO GODOY;EL VIRQUE;M;GRAL. BELGRANO;100;F
;3º;4600309;ESCUELA 345;CARLOS WILIAMK S/N ;M;COLONIA MALLIGASTA;100;D
;3º;4600365;GRAL. ANGEL VICENTE PEÑALOZA;CALLE PUBILCA S/N  BAJO VERDE;M;ANGEL V PEÑALOZA;120;S
;3º;4600475;BGADIER JAUN M. DE ROSAS;ILLISCA;M;JUAN F. QUIROGA;70;N
;3º;4600286;ESCUELA 348;POZO REDONDO;M;CHAMICAL;120;L
;3º;4600258;ESCUELA 349;LOS BORDOS;M;CHAMICAL;100;L
;;;;;;SAN RAFAEL;100;B
;3º;4600504;ESCUELA 351;CASANGATE;M;JUAN F. QUIROGA;120;N
;1º;4600202;GUILLERMO PAEZ;SAN NICOLAS DE BARI;M-T;VILLA UNION;40;H
;;4600002;BATALLON DE INGENIEROS 141;RUTA N° 5 KM 10 COLONIA FRUTIHORTICOLA;M;LA RIOJA;40;B
;3º;4600500;ESCUELA 354;SAN ANTONIO - LAS TOSCAS;M;ROSARIO V PEÑALOZA;120;O
;3º;4600342;ESCUELA 355;AGUAYO;M;GRAL. SAN MARTIN;120;J
;3º;4600347;YAPEYU;RUTA Nº 33 - LA INDUSTRIA;M;GRAL. SAN MARTIN;120;J
;3º;4600374;PARAJE ENTRE RIOS;PJE. ENTRE RIOS - ULAPES;M;GRAL. SAN MARTIN;120;J
;3º;4600742;JUAN JULIO IBAÑEZ;RUTA Nº 5 - SAN JOSE;M;LA RIOJA;100;B
;;;;;;ANCHICO;100;B
;3º;4600422;LA RIPIERA;LA RIPIERA;M;GRAL. OCAMPO;120;I
P.H.;1º;4600059;EXPEDICION AUX. ZELADA DAVILA;GUARANIES Nº 1136 Bº FACUNDO QUIROGA;M-T;LA RIOJA;;B
;;;;;;LAS CAÑAS;100;B
CIERRE DEFINITIVO MEDIANTE RESOLUCION MINISTERIAL N° 2454/19;;;;;;LA LILIA;120;J
;3º;4600532;ESCUELA 364;EX RUTA Nº 33;M;LA RIOJA;70;B
;1º;4600047;PCIA. DE MISIONES;BENJAMIN MATIENZZO Bº ANTARTIDA III;M-T;LA RIOJA;;B
;3º;4600364;ESCUELA 366;AGUADITA DE CARRIZAL;M;ANGEL V PEÑALOZA;;S
;3º;4600537;ESCUELA 367;SANTA MARIA ;M;JUAN F. QUIROGA;120;N
;3º;4600358;ANGELA DEL ROSARIO DIAZ DE GORDILLO;RUTA Nº 150 KM 46 - PAGANZO;T;INDEPENDENCIA;120;M
;1º;4600051;MAESTRO HUMBERTO PEREYRA;ASCASUBI Y PUERTO ARGENTINO;M-T;LA RIOJA;;B
;1º;4600225;MAESTRO FERMIN MORALES;SAN NICOLAS S/N;M-T;CHILECITO;;D
DIFERENCIAL;1º;4600211;MARIA MADRE DEL BUEN CAMINO;MARGARITA DIAZ DE DIAS Nº 632;M-T;LA RIOJA;;B
;3º;4600244;NEREO NIEVAS;COLONIAS DE ANGUINAN;M;CHILECITO;;D
;;;;;;MONTE NEGRO;100;F
;3º;4600375;ESCUELA 374;LA REPRESITA;M;GRAL. SAN MARTIN;100;J
DIFERENCIAL;1º;4600181;SOY FELIZ;9 DE JULIO Nº 535;M-T;LA RIOJA;;B
;3º;4600362;MARAI A. NORIEGA DE LEDO;SALINAS DE BUSTOS;M-T;INDEPENDENCIA;;M
DIFERENCIAL;3º;4600077;OBISPO ENRIQUE ANGELELLI ;Bº INMACULADA I;T;AIMOGASTA;;A
;3º;4600243;ANGELA CORTEZ DE  WOL;EX RUTTA Nº 40 - SAN NICOLAS ;M;CHILECITO;;D
DIFERENCIAL;1º;4600205;AMOR Y ESPERANZA;GUILLERMO IRIBARREN - CASTRO Y BAZAN;M-T;CHILECITO;;D
;3º;4600506;ESCUELA 380;TRES CRUCES;M;JUAN F. QUIROGA;;N
;3º;4600281;ESCUELA 381;SIERRA DE LOS QUINTEROS- LAS HIGUERAS;M;JUAN F. QUIROGA;120;S
DIFERENCIAL;1º;4600041;ALELUYA;EX HOSPITAL PLAZA CONT. RIVADAVIA S/N;M;LA RIOJA;;B
DIFERENCIAL;1º;4600192;ESPECIAL DE FORMACION LABORAL;CONTINUACION AVDA. ANGELILLI S/N Bº STA.CECILIA;T;LA RIOJA;;B
;3º;4600411;ESCUELA 384;PARAJE EL TOTORAL;T;ROSARIO V PEÑALOZA;120;O
;3º;4600439;ESCUELA 385;PARAJE RIO GRANDE;M;GRAL. OCAMPO;120;I
;3º;4600007;ESCUELA 386 PARAJE LA CAÑADA;ES RUTA NACIONAL Nº 38 KM 7 1/2 LA CAÑADA;M-T;LA RIOJA;70;B
;;;;;;;;
;3º;4600291;CANUTO REYES FARIAS;SANTA CRUZ;M;GRAL. BELGRANO;120;F
;3º;4600403;ESCUELA 388;RIO DE LAS CAÑAS;M;JUAN F. QUIROGA;120;N
DIFERENCIAL;1º;4600213;TINKUNACO;CABO  1º RODRIGUEZ S/N Bº ALTA RIOJA;M;LA RIOJA;;B
;3º;4600383;ESCUELA 390;TRES DE MAYO;M;GRAL. SAN MARTIN;120;J
;3º;4600366;ESCUELA 391;LAS LOMITAS;M;ANGEL V PEÑALOZA;100;S
;1º;4600193;DANTE ALIGHIERI;ARTIGAS Y CAJA DE AHORRO;M;LA RIOJA;;B
;3º;4600511;ESCUELA 393;BALDE DE AMAYA;M;JUAN F. QUIROGA;120;N
;1º;4600063;SAN JOSE DE CALASANZ;AVDA. SAN FRANCISCO KM 3 1/2 ;T;LA RIOJA;;B
P.H.;1º;4600021;MALVINAS ARGENTINAS;ECHEVERRIA Nº 272;T;LA RIOJA;;B
;1º;4600090;CAUDILLOS RIOJANOS;LAS CARRETAS Nº 247 Bº LIBERTADOR;M-T;LA RIOJA;;B
;1º;4600190;MERCEDITAS DE SAN MARTIN;ALICIA MOREAU DE JUSTO Nº 775;M;LA RIOJA;;B
;1º;4600079;MONSEÑOR ENRIQUE ANGELLELI;JULIO CAMPOS S/N Bº 20 DE MAYO;M-T;LA RIOJA;10;B
;3º;4600576;ESCUELA 399;RUTA 6 KM 100PJE POZO DE LA YEGUA;M;LA RIOJA;120;S
;3º;4600538;ESCUELA 400;PUBLICA S/N  LA MESADA;M;INDEPENDENCIA;120;M
;2º;4600700;SAN ANTONIO;CASIMIRO GODOY S/N;M;AIMOGASTA;;A
;3º;4600791;ESCUELA 402;PJE. MASCASIN;M;JUAN F. QUIROGA;70;N
;1º;4600764;ESCUELA 403;CLODULFA OZAN S/N;M-T;LA RIOJA;;B
;;;;;;;;
;;;;;;EL POTRERILLO;120;N
;1º;4600800;PADRE ARMANDO  AMIRATI;RAWSON S/N;M-T;LA RIOJA;;B
P.H.;1º;4600799;ROSA OCAMPO DE IRIBARREN;21 DE SEPTIEMBRE S/N  B° HIPODROMO;M;NONOGASTA;30;D
;1º;4600814;PROF. RAUL DELFOR TAPIA;PROYECTADA N° 5 ENTRE CEPEDA Y HERMOSA;M-T;LA RIOJA;;B
;1º;4600822;ESCUELA 408;CARDON S/N Bº FALDEO DEL VELAZCO SUR;M-T;LA RIOJA;;B
;1º;4600823;ESCUELA 409;LOMA BLANCA ENTRE CALLE 20 Y 22;M;LA RIOJA;;B
;1º;4600832;LOS BOULEVARES;RINO BOLOGNESI;M-T;LA RIOJA;;B
;1º;4600848;DR. RENE FAVALORO;LUIS AMAYA S/N Bº ASODIMO;M;LA RIOJA;;B
;1º;4600843;PAPA FRANCISCO;AVDA. RAMON NAVARRO Y JARILLA Bº URBANO I;M-T;LA RIOJA;;B
;1º;4600845;ESCUELA 413;ULAPES;M;GRAL. SAN MARTIN;30;J
;1º;4600851;JULIAN AMATTE;7 DE AGOSTO  LOS ALTOS;M-T;CHILECITO;;D
;1º;4600859;CARLOS DE DIOS MURIAS;CALLE PUBLICA;M;CHAMICAL;;L
;1º;4600880;ESCUELA 416;CALLE PROYECTADA B° URBANO 40;M-T;LA RIOJA;;B
;1º;4600890;ESCUELA 417;MANZANA 1278 B° NESTOR KIRCHNER;T;LA RIOJA;;B
;1º;4600901;ESCUELA 418;B° LOS OBREROS;M-T;LA RIOJA;;B
;;;;;;;;B
;;;CASA CENTRAL;Catmarca N° 65;M-T;LA RIOJA;;B
MODALIDADES ESPECIALES;;;CENTRO DE ADULTO;;;;;
MODALIDADES ESPECIALES;;;CENTRO DE ADULTO;;;CHILECITO;;
MODALIDADES ESPECIALES;;;CENTRO DE ADULTO;;;;;
MODALIDADES ESPECIALES;;;CENTRO DE ADULTO;;;;;
MODALIDADES ESPECIALES;;;CENTRO DE ADULTO;;;LA RIOJA;;B
MODALIDADES ESPECIALES;;;CENTRO DE ADULTO;;;ULAPES;30;J
MODALIDADES ESPECIALES;;;CENTRO DE ADULTO;;;MALANZAN;40;N
MODALIDADES ESPECIALES;;;CENTRO DE ADULTO;;;CHEPES ;;O
MODALIDADES ESPECIALES;;;CENTRO DE ADULTO;;;VILLA UNION;;H
MODALIDADES ESPECIALES;;;CENTRO DE ADULTO;;;CHILECITO ;;D
MODALIDADES ESPECIALES;;;CENTRO DE ADULTO;;;CHAMICAL;;L
MODALIDADES ESPECIALES;;;CENTRO DE ADULTO;;;CASTRO BARROS;;C
MODALIDADES ESPECIALES;;;CENTRO DE ADULTO;;;FAMATINA;;E
MODALIDADES ESPECIALES;;;CENTRO DE ADULTO;;;CATUNA;;F
;;;;;;LA RIOJA;;B
;;4600257;ESC. ESPECIAL Nº 2 EL SALVADOR;EL CHACHO Y GABRIEL LONGUEVILLE;M;CHAMICAL;;L
;;4600107;ESC. ESPECIAL Nº 3 DIVINO NIÑO DE JESUS;RUTA NACIONAL Nº 40 ;M;SAN BLAS DE LOS SAUCES;;R
;;;;;;LA RIOJA;;B
;3°;4600412;ESC. ESPECIAL Nº 5 ROBERTO SAUL;JUAN DOMINGO PERON ESQ. GUEMES Bº 3 DE JULIO;M;CHEPES;;O
;3°;4600148;ESC. ESPECIAL Nº 6 NIÑO ALCALDE;BELGRANO S/N ;M-T;CASTRO BARROS;;C
P.H.;1°;4600208;ESCUELA NORMAL 1;SAN NICOLAS DE BARI (O) ESQ. JULIO CESAR CORZO;M-T;LA RIOJA;;B
P.H.;1°;4600226;ESCUELA NORMAL 2;ALBERTOO G. OCAMPO N° 48;T;CHILECITO ;;D
P.H.;1°;4600479;ESCUELA NORMAL 3;CASTRO BARROS N° 555;M;CHEPES;;O
P.H.;1°;4600494;ESCUELA NORMAL 4;JOSE S. SALINAS N°328;T;OLTA;10;F
;;;SEDE SUPERVISION MUSICA;;M-T;CHILECITO ;;D
;;;SEDE SUPERVISION ZONA 2;;M-T;CHILECITO ;;D
inicial;;;;;;;;
;1º;4600004;FEDERICO FROEBEL;SAN NICOLAS DE BARI Y PUERTO ARGENTINO;M-T;LA RIOJA;;B
;1º;4600054;MARIA MONTESSORI;ADOLFO E. DAVILA Y DALMACIO V. SARFIELD;M-T;LA RIOJA;;B
;1º;4600080;CONSTANCIO C. VIGIL;CALLE OLTA ESQ. PORTEZUELA ;M-T;LA RIOJA;;B
;1º;4600195;OVIEDO DECROLY;MILAN Y TURIN Bº SANTA JUSTINA;M-T;LA RIOJA;;B
;1º;4600093;SARA ECLESTON;BECCAR VARELA Y LAS ACACIAS S/N;M-T;LA RIOJA;;B
;1º;4600183;ROSARIO VERA PEÑALOZA;HOIPOLITO IRIGOYEN S/N;M-T;LA RIOJA;;B
;1º;4600300;ALITAS ARGENTINAS;CASTRO BARROS ESQ. GABRIEL LONGUEVILLE;M-T;CHAMICAL;;L
;1º;4600409;YEAN PLAGET;JUAQUIN V. GONZALEZ;M-T;R. VERA PEÑALOZA;;O
;2º;4600445;GABRIELA MISTRAL;JUAN ZACARIAS AGÜERO VERA S/N;M-T;ORTIZ DE OCAMPO;30;I
;3º;;M.S.M. DE BAL…..;;;;30;R
;1º;4600306;28 DE MAYO;CORRIENTES Nº 71 Bº MAYO;M-T;CHILECITO;;D
;1º;;DR. PEDRO I. DE CASTRO BARROS;;;;30;O
;1º;4600085;ROSA VERA BARROS;ECHEVERRIA Nº 226 Bº ISLAS MALVINAS;M-T;LA RIOJA;;B
;1º;4600575;PIO XII;BAZAN Y BUSTOS Nº 460;M-T;LA RIOJA;;B
;1º;4600024;HERMANAS AGAZZI;TIMOTES Nº 1136;M-T;LA RIOJA;;B
;1º;4600042;MARIA DE LA COLINA;PAMPLONA S/N;M-T;LA RIOJA;;B
;1º;4600155;EUGENIA TOS DE ACIAR;AVDA. ORTIZ DE OCAMPO S/N;M-T;LA RIOJA;;B
;1º;;DOLORES DE LA VEGA;;;;40;R
;1º;4600203;ROSARITO;HONORATO GUERRERO Y J.V. GONZALEZ ;M-T;FELIPE VARELA;40;H
;3º;;MIGUEL ROBERTO MORENO;;;;;F
;1º;4600092;MIRIAN H. DE ANDERS;ADDA SAN FRANCISCO KM 3 1/2;M-T;LA RIOJA;;B
;1º;4600214;GREGORIA BRAVO DE SORIA;BELGRANO Nº 337 Bº CENTRO;M-T;LA RIOJA;;B
;1º;;MARIA LIDIA VILLAFAÑE;;;;;A
;2º;;JARDIN N° 24;;;;;D
;1º;4600025;CARLOS MARIA QUIROGA;ISLA DE LOS ESTADOS S/N Bº ANTARTIDA I;M-T;LA RIOJA;;B
;1º;4600012;ARLECHINO;RIVADAVIA Nº 137;M-T;LA RIOJA;;B
;1º;4600040;ROSARIO VERA PEÑALOZA;SAN NICOLAS S/N ;M-T;SANAGASTA;30;P
;2º;;JARDIN N°28;;;;30;J
;1º;4600062;NIÑO JESUS ALCALDE;AVDA. SAN FRANCISCO KM 8 1/2;M-T;LA RIOJA;10;B
;1º;4600222;PROFESORA PATRICIA SCHALLER;BELGRANO Y AVDA LOS CAUDILLO ;M-T;LA RIOJA;;B
;1º;;CARLOS M. HIJO;;;;30;O
;3º;4600522;JARDIN 32;SAN MARTIN S/N;M;CATUNA;40;I
;2º;4600023;LILIANA ALBARACIN;AVDA. FACUNDO QUIROGA S/N ;M-T;LA RIOJA;;B
;1º;4600015;MERCEDITAS DE SAN MARTIN;BRASIL ESQ. ANDRADE Bº LOS OLIVARES;M-T;LA RIOJA;;B
;1º;4600010;ESTELA PEÑALOZA DE CAME;AVDA. HEROES DE MALVINAS Y CERRO AMBATO;M-T;LA RIOJA;;B
;2º;4600057;NICOLAS LANZZILLOTTO;ACONCAGUA Y COSTA RICA;M-T;LA RIOJA;;B
;1º;4600158;PROF. PAOLA A. GAITAN;SANTA RITA Nº 30 Bº EL PARQUE ;M-T;CHILECITO;;O
;1º;;ROSARIO VERA PEÑALOZA;;;;30;C
;1º;4600003;RINCON DE LUZ;GUILLERMO IRIBARREN S/N;M-T;LA RIOJA;;B
;2º;;JARDIN Nº 40;;;;30;D
;3º;4600638;JARDIN ANEXO ESC 353;RUTA NAC. Nº 5 KM 10;M-T;LA RIOJA;40;B
;1º;4600697;ROSARIO VERA PEÑALOZA;LIBERTAD Y J.V. GONZALEZ;M-T;INDEPENDENCIA;30;H
;1º;4600789;JARDIN Nº 44;CIUDAD DE RESISTENCIA S/N Bº ARGENTINO;M-T;LA RIOJA;;B
;1º;4600788;ROSARIO OCAMPO DE IRIBARREN;21 DE SEPTIEMBRE Bº HIPODROMO;M-T;CHILECITO;;D
;2º;4600813;LIC. MARIA CRISTINA CORTES ALDONOTE;CARDON Y JARILLA Bº FALDO DE V. SUR;M-T;LA RIOJA;;B
;1º;4600745;JARDIN Nº 47;PADRE MARTIN GOMES Y FDO. QUIROGA ;M-T;CHAMICAL;;L
;2º;4600815;BURBUJITAS DE ALEGRIAS;VIDALERAS BARROS ESQ. SAN FANCISCO;M-T;CHILECITO;;D
;1º;4600812;IRMA OTAÑEZ DE SOLER;BAHIA MARGARITA Y BASE MATIENZO S/N Bº ANTARTIDA III;M-T;LA RIOJA;;B
;2º;4600816;JARDNI Nº 50;CAPDELIVA Y PORTEZUELAO ;M-T;LA RIOA;;B
;2º;4600825;JARDIN Nº 51;SAN MARTIN S/N ;M-T;GUNADACOL;100;H
;2º;4600833;JARDIN Nº 52;PUERTO SANTA CRUZ;M-T;LA RIOJA;;B
;1º;4600842;JARDIN Nº 53;RETAMA Y JARILLA Bº URBANO I;M-T;LA RIOJA;;B
;1º;4600855;VIRGEN DEL CAMPANARIO;LAS ENCRUCIJADAS S/N ;M-T;CHILECITO;;D
;1º;4600850;JARDIN Nº 55;Bº LOS BOULEVARES;M-T;LA RIOJA;;D
;2º;4600858;VICTOR R. GALLARDO;V. LUIS VERNET S/N;M-T;LA RIOJA;;B
;2º;4600853;JARDIN Nº 57;C.PUBLICA S/N ENTRE CHILE Y LUIS AMAYA Bº ASODISMO;M-T;LA RIOJA;;B
;2º;4600854;JARDIN Nº 58;ARTEMIO ORTIZ Y CARDON Bº MIS MONTAÑAS;M-T;LA RIOJA;;B
;2º;4600868;ALTOS DE CHILECITO;15 DE JUNIO S/N;M-T;CHILECITO;;D
;2º;4600857;JARDIN Nº 60;CALLE PUBLICA S/N;M-T;CHAMICAL;;l
;2º;4600862;JARDIN Nº 61;LUCENA Y CACIQUE SANAGUA  B° YACAMPIS;M-T;LA RIOJA;;B
;2º;4600863;PADRE ERI PRAOLINI;TILCARA Y LO A BLANCA;M-T;LA RIOJA;;B
;2º;4600861;JARDIN Nº 63;J.C. CARBALLO S/N B° LOS OBREROS;M-T;LA RIOJA;;B
;2º;4600867;GLADYS TOMASA JUSTA ROMERO CANDIDA DE PALMA;LAS CARRETAS S/N B° LIBERTADOR;M-T;LA RIOJA;;B
;2º;4600871;JARDIN Nº 65;CALLE 20 DE JUNIO ESQ. ALBERDI;M-T;ROSARIO V. PEÑALOZA;;O
;2º;4600877;ALTO DE LA RODADERA;CONTINUACION CALLE TUCUMAN S/N ;M-T;LA RIOJA ;;B
;2º;4600873;JARDIN Nº 67;LA RIOJA ESPAÑOLA Y FELIPEIBARRA;M-T;LA RIOJA;;B
;2º;4600884;JARDIN Nº 68;CALLE SAN JUAN;M;SAN MARTIN;;
;2º;4600879;JARDIN Nº 69;CARLOS JOAQUIN PEÑALOZA;M-T;LA RIOJA;;B
;2º;4600883;JARDIN Nº 70;MANZANA 1277 B° NESTOR KIRCHNER;M-T;LA RIOJA;;B
;2º;4600881;JARDIN Nº 71;MIXTO MERCADO DE GONZALEZ ESQ. RAQUEL TEJADA;M-T;LA RIOJA;;B
;2º;4600887;JARDIN Nº 72;PASO DE LA PATRIA S/N;M-T;LA RIOJA;;B
;2º;4600891;JARDIN Nº 73;CALEDONIA ROMERO B° COOPERATIVA I;M;ARAUCO;;A
;2º;4600892;JARDIN Nº 74;SAN NICOLAS ;M;CHILECITO;;D
;2º;4600888;JARDIN Nº 75;B° FRANCISCO I MANZANA 1003;M-T;LA RIOJA;;B
;2º;4600897;JARDIN Nº 78;CALLE PUBLICA S/N B° LA BANDERITA;M-T;LA RIOJA;;B
;2º;4600830;JARDIN Nº 81 GREGORIO CAVERO;LA PUNTILLA -CHILECITO;M-T;CHILECITO;;D
;2º;4600898;JARDIN Nº 82;PUBLICA S/N B°CIUDAD NUEVA;M;CHAMICAL;;L
;2º;4600903;JARDIN Nº 83;CALLE PUBLICA S/N B° EL ALTO;M-T;R. V. PEÑALOZA;;O
;1º;4600874;Ce.S.S.E.R. SEMILLITA;RUTA N° 5 - KM 10 - LAS PARCELAS;M-T;LA RIOJA;40;B
;1º;4600747;SAN PIO DE PIETRELCINA ;DEL RIO S/N  B° ALUNAI;M-T;LA RIOJA ;;B
;1º;4600208;ESCUELA NORMAL;JULIO C. CORZO Y SAN  NICOLAS DE BARI O;M-T;LA RIOJA;;B
;1º;4600226;ESCUELA NORMAL;ALBERTO G. OCAMPO Nº 48 ;T;CHILECITO;;D
;1º;;ESCUELA NORMAL;CASTRO BARROS Nº 555;M-T;R. V. PEÑALOZA;;O
;1º;;ESCUELA NORMAL;JOSE S. SALINAS Nº 328;M-T;OLTA;10;F
;2º;4600572;JARDIN NUCLEO 1;JUAN DOMINGO PERON S/N;M-T;GRAL. LAMADRID;70;G
;2º;4600573;JARDIN NUCLEO 2;AVDA. SAN PEDRO S/N;M-T;FAMATINA;;E
;1º;4600373;JARDIN NUCLEO 3;JUAN FDO. QUIROGA S/N;M-T;SAN MARTIN;30;J
;1º;4600539;JARDIN NUCLEO 4;JOAQUIN V. GONZALEZ;M-T;CHILECITO;30;D
;1º;4600413;JARDIN NUCLEO 5 ;ROSARIO V. PEÑALOZA T 2 DE ABRIL;M-T;R.V. PEÑALOZA;;O
;1º;4600525;JARDIN NUCLEO 6 MIGUEL ROBERTO MORENO;AVDA. MANUEL BELGRANO Nº 551;M-T;OLTA;;F
;1º;4600131;JARDIN NUCLEO 7;CORONEL NICOLAS BARROS S/N;M-T;CASTRO BARROS;30;C
;1º;4600104;JARDIN NUCLEO 8;RUTA NACIONAL Nº 40 ;M;S. BLAS DE LOS SAUCES;30;R
;1º;4600075;JARDIN NUCLEO 9  M.L.V. DE DIAZ LUNA;LUIS MANSUETO DE LA FUENTE S/N;M-T;ARAUCO;;A
;1º;4600905;JARDIN NUCLEO 10;TAMA;M-T;ANGEL V. PEÑALOZA;30;S
;1º;;JARDIN NUCLEO 11;;;CAMPANA;55;E
;1º;4600760;JARDIN NUCLEO 13 ;CAPIANGO DE QUIROGA S/N;M;EL PORTEZUELO;55;N
;2º;4600759;JARDIN NUCLO 17 ;MENDOZA S/N;M-T;CHAMICAL;;L
medio;;;;;;;;
;;4600777;Centro de Educación Física N° 4;;;Villa Unión;40;H
;;4600199;Colegio Pcial. R.V. Peñaloza;AV. PERON S/N;;Villa Unión;40;H
